Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
1/6/2026,1/7/2026,1/8/2026,AAPL2/20/26P220,AAPL Feb 20 2026 $220.00 Put,STO,2,$3.45,-$690.00
2/20/2026,2/21/2026,2/22/2026,AAPL2/20/26P220,AAPL Feb 20 2026 $220.00 Put,OASGN,2,$0.00,$0.00
2/20/2026,2/21/2026,2/22/2026,AAPL,AAPL Shares Assigned,BUY,200,$220.00,-$44000.00
3/3/2026,3/4/2026,3/5/2026,AAPL4/17/26C215,AAPL Apr 17 2026 $215.00 Call,STO,2,$3.80,-$760.00
3/21/2026,3/22/2026,3/23/2026,AAPL4/17/26C215,AAPL Apr 17 2026 $215.00 Call,BTC,2,$1.90,$380.00
3/25/2026,3/26/2026,3/27/2026,AAPL5/16/26C220,AAPL May 16 2026 $220.00 Call,STO,2,$5.10,-$1020.00
5/16/2026,5/17/2026,5/18/2026,AAPL5/16/26C220,AAPL May 16 2026 $220.00 Call,OASGN,2,$0.00,$0.00
5/16/2026,5/17/2026,5/18/2026,AAPL,AAPL Shares Called Away,SELL,200,$220.00,$44000.00
END
2/3/2026,2/4/2026,2/5/2026,NVDA2/27/26P125,NVDA Feb 27 2026 $125.00 Put,STO,2,$4.80,-$960.00
2/27/2026,2/28/2026,3/1/2026,NVDA2/27/26P125,NVDA Feb 27 2026 $125.00 Put,OEXP,2,$0.00,$0.00
END
3/2/2026,3/3/2026,3/4/2026,MSFT3/21/26P395,MSFT Mar 21 2026 $395.00 Put,STO,1,$4.50,-$450.00
3/10/2026,3/11/2026,3/12/2026,MSFT3/21/26P395,MSFT Mar 21 2026 $395.00 Put,BTC,1,$2.25,$225.00
END
2/1/2026,2/2/2026,2/3/2026,TSLA,TSLA Stock Purchase,BUY,100,$310.00,-$31000.00
2/10/2026,2/11/2026,2/12/2026,TSLA3/21/26C320,TSLA Mar 21 2026 $320.00 Call,STO,1,$9.20,-$920.00
3/21/2026,3/22/2026,3/23/2026,TSLA3/21/26C320,TSLA Mar 21 2026 $320.00 Call,OEXP,1,$0.00,$0.00
3/25/2026,3/26/2026,3/27/2026,TSLA4/17/26C325,TSLA Apr 17 2026 $325.00 Call,STO,1,$8.40,-$840.00
4/17/2026,4/18/2026,4/19/2026,TSLA4/17/26C325,TSLA Apr 17 2026 $325.00 Call,OASGN,1,$0.00,$0.00
4/17/2026,4/18/2026,4/19/2026,TSLA,TSLA Shares Called Away,SELL,100,$325.00,$32500.00
END
3/10/2026,3/11/2026,3/12/2026,META4/17/26C680,META Apr 17 2026 $680.00 Call,BTO,1,$12.30,-$1230.00
4/4/2026,4/5/2026,4/6/2026,META4/17/26C680,META Apr 17 2026 $680.00 Call,STC,1,$6.80,$680.00
END
3/31/2026,4/1/2026,4/2/2026,AMZN5/16/26P200,AMZN May 16 2026 $200.00 Put,BTO,1,$9.60,-$960.00
4/25/2026,4/26/2026,4/27/2026,AMZN5/16/26P200,AMZN May 16 2026 $200.00 Put,OEXP,1,$0.00,$0.00
END
3/15/2026,3/16/2026,3/17/2026,NVDA,NVDA Stock Purchase,BUY,100,$112.50,-$11250.00
3/20/2026,3/21/2026,3/22/2026,NVDA5/16/26C115,NVDA May 16 2026 $115.00 Call,STO,1,$3.20,-$320.00
END
3/20/2026,3/21/2026,3/22/2026,SPY6/20/26P510,SPY Jun 20 2026 $510.00 Put,STO,2,$4.15,-$830.00
END
4/1/2026,4/2/2026,4/3/2026,AAPL6/20/26P195,AAPL Jun 20 2026 $195.00 Put,STO,1,$2.85,-$285.00
END
1/15/2026,1/15/2026,1/15/2026,AAPL,AAPL Dividend,DIV,,,50.00
3/1/2026,3/1/2026,3/1/2026,MSFT,MSFT Dividend,DIV,,,94.00
3/15/2026,3/15/2026,3/15/2026,,ACH Deposit,ACH,,,25000.00
